PARAMETER,V7_REFERENCE,CURRENT_VALUE,UNIT,SOURCE,SOURCE_REVISION,STATUS,EVIDENCE_CLASS,CONFIDENCE,ENGINEERING_PURPOSE,MISSING_INFORMATION,DEPENDENCY,RISK,NEXT_REQUIRED_EVIDENCE
legacy nominal thickness concept,160,1.6–2.0,mm / class,V7_R0_PACKAGE,V7-R0,DESIGN_ASSUMPTION,Concept dimension,Medium,Structural sizing concept,Not production tolerance or material proof.,Released drawing + material spec,Critical,Controlled section/thickness
legacy material concept,140,DP780 / AHSS,grade/family,V7_R0_PACKAGE,V7-R0,DESIGN_ASSUMPTION,Concept selection only,Medium,Material concept,Not current controlled material assignment; not suitable for release/CAE without evidence.,Supplier/manufacturer certification + released drawing,Critical,Controlled material mapping
legacy nominal thickness concept,140,1.2–1.6,mm / class,V7_R0_PACKAGE,V7-R0,DESIGN_ASSUMPTION,Concept dimension,Medium,Structural sizing concept,Not production tolerance or material proof.,Released drawing + material spec,Critical,Controlled section/thickness
legacy material concept,110L/110R,22MnB5 / Q&P concept,grade/family,V7_R0_PACKAGE,V7-R0,DESIGN_ASSUMPTION,Concept selection only,Medium,Material concept,Not current controlled material assignment; not suitable for release/CAE without evidence.,Supplier/manufacturer certification + released drawing,Critical,Controlled material mapping
legacy nominal thickness concept,110L/110R,2.0–2.5,mm / class,V7_R0_PACKAGE,V7-R0,DESIGN_ASSUMPTION,Concept dimension,Medium,Structural sizing concept,Not production tolerance or material proof.,Released drawing + material spec,Critical,Controlled section/thickness
legacy material concept,100/120,DP590,grade/family,V7_R0_PACKAGE,V7-R0,DESIGN_ASSUMPTION,Concept selection only,Medium,Material concept,Not current controlled material assignment; not suitable for release/CAE without evidence.,Supplier/manufacturer certification + released drawing,Critical,Controlled material mapping
legacy nominal thickness concept,100/120,2.0,mm / class,V7_R0_PACKAGE,V7-R0,DESIGN_ASSUMPTION,Concept dimension,Medium,Structural sizing concept,Not production tolerance or material proof.,Released drawing + material spec,Critical,Controlled section/thickness
legacy material concept,side brackets,DP590,grade/family,V7_R0_PACKAGE,V7-R0,DESIGN_ASSUMPTION,Concept selection only,Medium,Material concept,Not current controlled material assignment; not suitable for release/CAE without evidence.,Supplier/manufacturer certification + released drawing,Critical,Controlled material mapping
legacy nominal thickness concept,side brackets,3.0,mm / class,V7_R0_PACKAGE,V7-R0,DESIGN_ASSUMPTION,Concept dimension,Medium,Structural sizing concept,Not production tolerance or material proof.,Released drawing + material spec,Critical,Controlled section/thickness
legacy material concept,130,Al 5052 / honeycomb concept,grade/family,V7_R0_PACKAGE,V7-R0,DESIGN_ASSUMPTION,Concept selection only,Medium,Material concept,Not current controlled material assignment; not suitable for release/CAE without evidence.,Supplier/manufacturer certification + released drawing,Critical,Controlled material mapping
legacy nominal thickness concept,130,geometry-dependent,mm / class,V7_R0_PACKAGE,V7-R0,DESIGN_ASSUMPTION,Concept dimension,Medium,Structural sizing concept,Not production tolerance or material proof.,Released drawing + material spec,Critical,Controlled section/thickness
legacy material concept,fasteners,10.9 class steel,grade/family,V7_R0_PACKAGE,V7-R0,DESIGN_ASSUMPTION,Concept selection only,Medium,Material concept,Not current controlled material assignment; not suitable for release/CAE without evidence.,Supplier/manufacturer certification + released drawing,Critical,Controlled material mapping
legacy nominal thickness concept,fasteners,M8/M10/M12 concept,mm / class,V7_R0_PACKAGE,V7-R0,DESIGN_ASSUMPTION,Concept dimension,Medium,Structural sizing concept,Not production tolerance or material proof.,Released drawing + material spec,Critical,Controlled section/thickness
legacy material concept,J hinge pin,SCM440 concept,grade/family,V7_R0_PACKAGE,V7-R0,DESIGN_ASSUMPTION,Concept selection only,Medium,Material concept,Not current controlled material assignment; not suitable for release/CAE without evidence.,Supplier/manufacturer certification + released drawing,Critical,Controlled material mapping
legacy nominal thickness concept,J hinge pin,Ø12–20 class,mm / class,V7_R0_PACKAGE,V7-R0,DESIGN_ASSUMPTION,Concept dimension,Medium,Structural sizing concept,Not production tolerance or material proof.,Released drawing + material spec,Critical,Controlled section/thickness
welding concept,100/120/160/etc,"MIG/GMAW, ER70S-6",process,V7_R0_PACKAGE,V7-R0,DESIGN_ASSUMPTION,Concept manufacturing method,Medium,Joining concept,Weld size/quality/qualification not defined.,WPS/PQR + weld drawing + inspection,Critical,Qualified joining specification
fastener type,IF-R4-01,,,V7_R5_FASTENER,V7-RC-005,SUPPLIER_INPUT_REQUIRED,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
diameter,IF-R4-01,,mm,V7_R5_FASTENER,V7-RC-005,SUPPLIER_INPUT_REQUIRED,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
grade,IF-R4-01,,,V7_R5_FASTENER,V7-RC-005,SUPPLIER_INPUT_REQUIRED,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
quantity,IF-R4-01,,count,V7_R5_FASTENER,V7-RC-005,SUPPLIER_INPUT_REQUIRED,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
spacing,IF-R4-01,,mm,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
washer/nut,IF-R4-01,,,V7_R5_FASTENER,V7-RC-005,SUPPLIER_INPUT_REQUIRED,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
hole size,IF-R4-01,,mm,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
preload,IF-R4-01,,N,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
torque,IF-R4-01,,N·m,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
friction,IF-R4-01,,dimensionless,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
clamp load,IF-R4-01,,N,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
joint stiffness,IF-R4-01,,N/mm or N·m/rad,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
slip,IF-R4-01,,mm,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
bearing capacity,IF-R4-01,,N,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
shear capacity,IF-R4-01,,N,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
tension capacity,IF-R4-01,,N,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
failure mode,IF-R4-01,,definition,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
fastener type,IF-R4-02,,,V7_R5_FASTENER,V7-RC-005,SUPPLIER_INPUT_REQUIRED,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
diameter,IF-R4-02,,mm,V7_R5_FASTENER,V7-RC-005,SUPPLIER_INPUT_REQUIRED,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
grade,IF-R4-02,,,V7_R5_FASTENER,V7-RC-005,SUPPLIER_INPUT_REQUIRED,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
quantity,IF-R4-02,,count,V7_R5_FASTENER,V7-RC-005,SUPPLIER_INPUT_REQUIRED,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
spacing,IF-R4-02,,mm,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
washer/nut,IF-R4-02,,,V7_R5_FASTENER,V7-RC-005,SUPPLIER_INPUT_REQUIRED,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
hole size,IF-R4-02,,mm,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
preload,IF-R4-02,,N,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
torque,IF-R4-02,,N·m,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
friction,IF-R4-02,,dimensionless,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
clamp load,IF-R4-02,,N,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
joint stiffness,IF-R4-02,,N/mm or N·m/rad,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
slip,IF-R4-02,,mm,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
bearing capacity,IF-R4-02,,N,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
shear capacity,IF-R4-02,,N,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
tension capacity,IF-R4-02,,N,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
failure mode,IF-R4-02,,definition,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
fastener type,IF-R4-03,,,V7_R5_FASTENER,V7-RC-005,SUPPLIER_INPUT_REQUIRED,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
diameter,IF-R4-03,,mm,V7_R5_FASTENER,V7-RC-005,SUPPLIER_INPUT_REQUIRED,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
grade,IF-R4-03,,,V7_R5_FASTENER,V7-RC-005,SUPPLIER_INPUT_REQUIRED,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
quantity,IF-R4-03,,count,V7_R5_FASTENER,V7-RC-005,SUPPLIER_INPUT_REQUIRED,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
spacing,IF-R4-03,,mm,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
washer/nut,IF-R4-03,,,V7_R5_FASTENER,V7-RC-005,SUPPLIER_INPUT_REQUIRED,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
hole size,IF-R4-03,,mm,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
preload,IF-R4-03,,N,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
torque,IF-R4-03,,N·m,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
friction,IF-R4-03,,dimensionless,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
clamp load,IF-R4-03,,N,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
joint stiffness,IF-R4-03,,N/mm or N·m/rad,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
slip,IF-R4-03,,mm,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
bearing capacity,IF-R4-03,,N,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
shear capacity,IF-R4-03,,N,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
tension capacity,IF-R4-03,,N,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
failure mode,IF-R4-03,,definition,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
fastener type,IF-R4-04,,,V7_R5_FASTENER,V7-RC-005,SUPPLIER_INPUT_REQUIRED,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
diameter,IF-R4-04,,mm,V7_R5_FASTENER,V7-RC-005,SUPPLIER_INPUT_REQUIRED,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
grade,IF-R4-04,,,V7_R5_FASTENER,V7-RC-005,SUPPLIER_INPUT_REQUIRED,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
quantity,IF-R4-04,,count,V7_R5_FASTENER,V7-RC-005,SUPPLIER_INPUT_REQUIRED,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
spacing,IF-R4-04,,mm,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
washer/nut,IF-R4-04,,,V7_R5_FASTENER,V7-RC-005,SUPPLIER_INPUT_REQUIRED,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
hole size,IF-R4-04,,mm,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
preload,IF-R4-04,,N,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
torque,IF-R4-04,,N·m,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
friction,IF-R4-04,,dimensionless,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
clamp load,IF-R4-04,,N,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
joint stiffness,IF-R4-04,,N/mm or N·m/rad,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
slip,IF-R4-04,,mm,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
bearing capacity,IF-R4-04,,N,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
shear capacity,IF-R4-04,,N,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
tension capacity,IF-R4-04,,N,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
failure mode,IF-R4-04,,definition,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
fastener type,IF-R4-05,,,V7_R5_FASTENER,V7-RC-005,SUPPLIER_INPUT_REQUIRED,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
diameter,IF-R4-05,,mm,V7_R5_FASTENER,V7-RC-005,SUPPLIER_INPUT_REQUIRED,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
grade,IF-R4-05,,,V7_R5_FASTENER,V7-RC-005,SUPPLIER_INPUT_REQUIRED,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
quantity,IF-R4-05,,count,V7_R5_FASTENER,V7-RC-005,SUPPLIER_INPUT_REQUIRED,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
spacing,IF-R4-05,,mm,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
washer/nut,IF-R4-05,,,V7_R5_FASTENER,V7-RC-005,SUPPLIER_INPUT_REQUIRED,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
hole size,IF-R4-05,,mm,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
preload,IF-R4-05,,N,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
torque,IF-R4-05,,N·m,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
friction,IF-R4-05,,dimensionless,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
clamp load,IF-R4-05,,N,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
joint stiffness,IF-R4-05,,N/mm or N·m/rad,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
slip,IF-R4-05,,mm,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
bearing capacity,IF-R4-05,,N,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
shear capacity,IF-R4-05,,N,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
tension capacity,IF-R4-05,,N,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
failure mode,IF-R4-05,,definition,V7_R5_FASTENER,V7-RC-005,MISSING,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
fastener type,IF-R4-06,,,V7_R5_FASTENER,V7-RC-005,SUPPLIER_INPUT_REQUIRED,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
diameter,IF-R4-06,,mm,V7_R5_FASTENER,V7-RC-005,SUPPLIER_INPUT_REQUIRED,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
grade,IF-R4-06,,,V7_R5_FASTENER,V7-RC-005,SUPPLIER_INPUT_REQUIRED,FASTENER_JOINT_PENDING,None,Structural interface joint definition,Current fields are null / not released. No common fastener assumption allowed.,Released joint drawing + supplier fastener data + installation process,Critical,Controlled fastener/joint specification
